clave,numerador,icc
2601,0.086587046,0.71
2602,0.010156807,0.08
2603,0.057262728,0.47
2604,0.024116287,0.2
2605,0.628224583,5.16
2606,0.102745793,0.84
2607,0.125150905,1.03
2608,0.244198501,2.01
2609,0.193650794,1.59
2610,0.321497121,2.64
2611,0.143561644,1.18
2612,0.429298864,3.53
2613,0.259301015,2.13
2614,0.143962848,1.18
2615,0.270899471,2.23
2616,0.121543779,1
2617,0.017769003,0.15
2618,0.026100712,0.21
2619,0.29869281,2.46
2620,0.076666667,0.63
2621,0.665395615,5.47
2622,0.146391753,1.2
2623,0.147216274,1.21
2624,0.192388268,1.58
2625,0.22447466,1.85
2626,0.155849989,1.28
2627,0.165657439,1.36
2628,0.089417091,0.74
2629,0.124123422,1.02
2630,0.015051174,0.12
2631,0.047213227,0.39
2632,0.092841649,0.76
2633,0.096370061,0.79
2634,0.459578207,3.78
2635,0.089375555,0.73
2636,0.186314922,1.53
2637,0.049247606,0.4
2638,0.038448567,0.32
2639,0.093247588,0.77
2640,0.284912813,2.34
2641,0.211874272,1.74
2642,0.416066361,3.42
2643,0.132436627,1.09
2644,0.100874936,0.83
2645,0.004679626,0.04
2646,0.093982808,0.77
2647,0.006387509,0.05
2648,0.014886165,0.12
2649,0.000557103,0
2650,0.425,3.49
2651,0.015887026,0.13
2652,0.000682361,0.01
2653,0.006205674,0.05
2654,0.003996004,0.03
2655,0.00286944,0.02
2656,0.004100228,0.03
2657,0.002232143,0.02
2658,0.009973696,0.08
2660,0.035864979,0.29
2661,0.025758205,0.21
